Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.13,1368,0.1341045,291,227,223,1,253,0.069539309
101,0.13,1355,0.132830115,295,235,235,1,261,0.091113329
101,0.13,1339,0.131261641,264,223,223,1,229,0.091134787
101,0.13,1322,0.129595138,259,217,217,1,233,0.073555946
101,0.13,1339,0.131261641,3,,,0,,0.011996984
101,0.13,1354,0.132732085,276,223,221,1,251,0.083511353
101,0.13,1343,0.131653759,271,219,219,1,235,0.100374699
101,0.13,1329,0.130281345,273,229,225,1,243,0.059892416
101,0.13,1330,0.130379375,271,229,227,1,245,0.070945501
101,0.13,1341,0.1314577,298,239,241,1,255,0.083199978
101,0.13,1297,0.127144398,3,,,0,,0.012964964
101,0.13,1328,0.130183315,287,241,241,1,263,0.063817739
101,0.13,1304,0.127830605,292,235,229,1,251,0.091186762
101,0.13,1364,0.133712381,276,227,227,1,245,0.091158628
101,0.13,1246,0.122144888,283,235,227,1,251,0.084503889
101,0.13,1375,0.134790707,283,233,229,1,251,0.074823618
101,0.13,1306,0.128026664,269,229,229,1,241,0.062900305
101,0.13,1338,0.131163611,286,229,227,1,253,0.077545404
101,0.13,1321,0.129497108,6,,,0,,0.014981747
101,0.13,1370,0.134300559,274,233,233,1,245,0.064892054
101,0.17,1698,0.166454269,270,231,231,1,237,0.06947422
101,0.17,1705,0.167140476,278,,,0,,0.604111433
101,0.17,1710,0.167630624,240,211,209,1,211,0.074870348
101,0.17,1673,0.164003529,296,235,229,1,265,0.071530104
101,0.17,1708,0.167434565,312,241,243,1,267,0.076518774
101,0.17,1715,0.168120772,410,287,277,1,355,0.497613192
101,0.17,1762,0.172728164,262,221,223,1,233,0.070542097
101,0.17,1798,0.17625723,301,245,239,1,261,0.089848518
101,0.17,1757,0.172238016,305,231,231,1,265,0.111787319
101,0.17,1743,0.170865601,322,241,241,1,269,0.107799053
101,0.17,1770,0.173512401,318,239,229,1,273,0.127358437
101,0.17,1739,0.170473483,331,247,237,1,289,0.105016708
101,0.17,1714,0.168022743,295,237,233,1,251,0.090150356
101,0.17,1738,0.170375453,310,237,225,1,263,0.112426281
101,0.17,1755,0.172041957,340,245,241,1,293,0.105803967
101,0.17,1681,0.164787766,253,217,217,1,231,0.061851978
101,0.17,1747,0.17125772,325,245,245,1,283,0.075566053
101,0.17,1729,0.169493187,282,229,227,1,245,0.102809429
101,0.17,1721,0.16870895,292,237,231,1,257,0.109796524
101,0.17,1702,0.166846388,323,249,233,1,277,0.121059179
101,0.17,1665,0.163219292,348,251,251,1,303,0.125592232
101,0.17,1744,0.170963631,322,239,229,1,279,0.100820065
101,0.17,1745,0.171061661,305,239,231,1,259,0.092172384
101,0.17,1725,0.169101069,301,225,225,1,251,0.161266088
101,0.17,1705,0.167140476,330,249,225,1,283,0.124386549
101,0.17,1682,0.164885796,303,237,219,1,257,0.148684502
101,0.17,1705,0.167140476,321,239,233,1,279,0.141675234
101,0.17,1760,0.172532105,324,241,237,1,279,0.130909443
101,0.17,1711,0.167728654,263,219,219,1,227,0.091184855
101,0.17,1776,0.174100578,310,229,227,1,273,0.119396448
101,0.17,1750,0.171551809,263,225,221,1,233,0.072491407
101,0.17,1748,0.171355749,348,249,229,1,291,0.156657696
101,0.17,1779,0.174394667,294,227,223,1,255,0.106779099
101,0.17,1751,0.171649838,299,237,235,1,271,0.085179567
101,0.17,1735,0.170081365,346,251,247,1,289,0.13882184
101,0.17,1706,0.167238506,297,233,231,1,255,0.09974432
101,0.17,1669,0.163611411,272,225,225,1,233,0.095622778
101,0.17,1667,0.163415351,312,237,219,1,269,0.139297485
101,0.17,1729,0.169493187,283,225,225,1,237,0.138955116
101,0.17,1747,0.17125772,313,239,231,1,265,0.115441322
101,0.17,1652,0.161944907,285,233,223,1,245,0.093180418
101,0.17,1771,0.17361043,350,257,239,1,313,0.1022017
101,0.17,1696,0.16625821,304,231,217,1,269,0.115438223
101,0.17,1753,0.171845897,268,,,0,,0.568712473
101,0.17,1730,0.169591217,320,235,233,1,275,0.119436026
